Halal,NAME,BSE-ID,NSECode,Industry,More
yes,Adani Wilmar Ltd,AWL,AWL,Edible Oils,More
yes,ADARSH PLANT PROTECT LTD.,ADARSHPL,,Pumps,More
yes,ADC INDIA COMMUNICATIONS LIMITED,ADCINDIA,,Telecommunications - Equipment,More
no,ADCON CAPITAL SERVICES LTD,ADCON,,Finance & Investments,More
yes,Addictive Learn,,LAWSIKHO,Miscellaneous,More
yes,ADD-SHOP ERETAIL LTD,ASRL,,Trading,More
no,ADESHWAR MEDITEX LTD,ADESHWAR,,Healthcare,More
yes,ADF FOODS LTD.,ADFFOODS,ADFFOODS,Food - Processing - Indian,More
no,ADINATH EXIM RESOURCES LTD.,ADIEXRE,,Finance & Investments,More
yes,ADINATH TEXTILES LTD.,ADINATH,,Textiles - Spinning - Synthetic / Blended,More
no,ADITYA BIRLA CAPITAL LTD,ABCAPITAL,ABCAPITAL,Finance & Investments,More
yes,ADITYA BIRLA FASHION AND RETAIL LTD,ABFRL,ABFRL,Textiles - Products,More
no,ADITYA BIRLA MONEY LTD.,BIRLAMONEY,BIRLAMONEY,Finance & Investments,More
no,Aditya Birla Sun Life AMC Ltd,ABSLAMC,ABSLAMC,Asset Management Cos.,More
yes,ADITYA CONSUMER MARKETING LTD,ACML,,Trading,More
no,ADITYA ISPAT LTD.,ADITYA,,Steel - Medium / Small,More
no,ADITYA SPINNERS LTD.,ADITYASP,,Textiles - Spinning - Synthetic / Blended,More
no,ADITYA VISION LTD,AVL,,Electronics - Consumer,More
yes,ADJIA TECH,ADORFO,,Computers - Software - Medium / Small,More
no,AD-MANUM FINANCE LTD.,ADMANUM,,Finance & Investments,More
yes,ADOR FONTECH LTD.,ADORFO,,Electrodes - Welding Equipment,More
yes,ADOR MULTIPRODUCTS LTD.,ADORMUL,,Personal Care - Indian,More
yes,ADOR WELDING LTD.,ADORWELD,ADORWELD,Electrodes - Welding Equipment,More
yes,ADROIT INFOTECH LTD,ADROITINFO,ADROITINFO,Computers - Software - Medium / Small,More
yes,ADVAIT INFRATECH LTD,ADVAIT,,Construction,More
no,ADVANCE LIFESTYLES LTD.,ADVLIFE,,Textiles - Jute - Yarn / Products,More
yes,ADVANCE METERING TECHNOLOGY LTD.,AMTL,,Electric Equipment,More
no,ADVANCE PETROCHEMICALS LTD,ADVPETR-B,,Commodity Chemicals,More
no,ADVANCE SYNTEX LTD,ASYL,,Textiles - Spinning - Synthetic / Blended,More
yes,ADVANCED ENZYME TECHNOLOGIES LTD,ADVENZYMES,ADVENZYMES,Chemicals,More
no,ADVANI HOTELS & RESORTS (INDIA) LTD.,ADVANIHOTR,ADVANIHOTR,Hotels,More
no,ADVENT COMPUTER SERVICES LTD.,ADVENT,,Computers - Software - Medium / Small,More
no,ADVIK CAPITAL LTD,ADVIKCA,,Finance & Investments,More
no,ADVIK LABORATORIES LTD.,ADVIKLA,,Pharmaceuticals - Indian - Formulations,More
yes,ADVITIYA TRADE INDIA LTD,ADVITIYA,,Trading,More
yes,AEGIS LOGISTICS LTD.,AEGISLOG,AEGISCHEM,Trading,More
yes,Aeroflex Industries Ltd,AEROFLEX,AEROFLEX,Iron & Steel Products,More
yes,Aether Industries Limited,AETHER,AETHER,Basic Materials,More
yes,AFFLE (INDIA) LTD,AFFLE,AFFLE,Miscellaneous,More
yes,AFFORDABLE ROBOTIC & AUTOMATION LTD,AFFORDABLE,,Engineering,More
no,Agarwal Float Glass India Ltd,,AGARWALFT,Glass,More
yes,AGARWAL INDUSTRIAL CORPORATION LTD.,AGARIND,AGARIND,Petrochemicals,More
no,AGC NETWORKS LIMITED,AGCNET,,Computers - Software - Medium / Small,More
no,AGI Greenpac Limited,AGI,AGI,Basic Materials,More
yes,AGI INFRA LTD,AGIIL,,Construction,More
no,AGIO PAPER & INDUSTRIES LTD.,AGIOPAPER,,Paper,More
yes,Agni Green,,AGNI,Electric Equipment,More
