Halal,NAME,BSE-ID,NSECode,Industry,More
yes,DHANUKA AGRITECH LTD.,DHANUKA,DHANUKA,Pesticides / Agrochemicals - Indian,More
no,DHANUKA REALTY,,DRL,Construction,More
no,DHARANI FINANCE LTD.,DHARFIN,,Finance & Investments,More
no,DHARANI SUGARS & CHEMICALS LTD.,DHARSUGAR,,Sugar,More
yes,Dharmaj Crop Guard Ltd,DHARMAJ,DHARMAJ,Pesticides & Agrochemicals,More
no,Dharni Capital Services Ltd,DHARNI,,Financial Products Distributor,More
no,DHENU BUILDCON INFRA LTD.,DHENUBUILD,,Trading,More
no,DHOOT INDUSTRIAL FINANCE LTD.,DHOOTIN,,Trading,More
yes,DHP INDIA LTD.,DHPIND,,Domestic Appliances,More
yes,DHRUV CONSULTANCY SERVICES LTD,DHRUV,DHRUV,Miscellaneous,More
no,DHRUV WELLNESS LTD,DWL,,Trading,More
no,DHRUVA CAPITAL SERVICES LTD.,DHRUVCA,,Finance & Investments,More
no,DHUNSERI INVESTMENTS LTD.,DHUNINV,DHUNINV,Finance & Investments,More
no,DHUNSERI TEA & INDUSTRIES LTD,DHUNTEAIND,DTIL,Tea,More
no,DHUNSERI VENTURES LTD,DVL,DVL,Petrochemicals,More
no,DIAMANT INFRASTRUCTURE LIMITED,DIAMANT,,Construction,More
yes,DIAMINES & CHEMICALS LTD.,DIAMINESQ,DIAMINESQ,Chemicals,More
no,DIAMOND POWER INFRASTRUCTURE LIMITED,DIACABS,DIACABS,Cables - Power,More
no,DIANA TEA CO.LTD.,DIANATEA,,Tea,More
yes,DIC INDIA LTD.,DICIND,DICIND,Chemicals,More
yes,DIGGI MULTITRADE LTD,DML,,Construction,More
no,DIGICONTENT LTD,DGCONTENT,DGCONTENT,Entertainment / Electronic Media Software,More
no,Digikore Studios Ltd,,DIGIKORE,Media & Entertainment,More
yes,DIGISPICE TECHNOLOGIES LTD,DIGISPICE,DIGISPICE,Telecommunications - Equipment,More
yes,Digjam Limited,DIGJAMLMTD,DIGJAMLMTD,Consumer Cyclical,More
no,DIKSHA GREENS LTD,DGL,,Miscellaneous,More
no,DILIGENT INDUSTRIES LTD.,DILIGENT,,Solvent Extraction,More
no,DILIGENT MEDIA CORPORATION LTD,DNAMEDIA,DNAMEDIA,Entertainment / Electronic Media Software,More
no,DILIP BUILDCON LTD,DBL,DBL,Construction,More
yes,DISA INDIA LTD.,DISAQ,,Engineering,More
no,DISH TV INDIA LTD.,DISHTV,DISHTV,Entertainment / Electronic Media Software,More
no,DISHA RESOURCES LTD,DRL,,Finance & Investments,More
no,DISHMAN CARBOGEN AMCIS LTD,DCAL,DCAL,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
yes,Divgi Torqtransfer Systems Ltd,DIVGIITTS,DIVGIITTS,Auto Components & Equipments,More
yes,DIVI'S LABORATORIES LTD.,DIVISLAB,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,More
yes,DIVYASHAKTI GRANITES LTD.,DIVSHKT,,Miscellaneous,More
yes,DIXON TECHNOLOGIES (INDIA) LTD,DIXON,DIXON,Electronics - Consumer,More
yes,DJ MEDIAPRINT & LOGISTICS LTD,DJML,DJML,Printing & Stationery,More
yes,DLF LTD.,DLF,DLF,Construction,More
yes,D-LINK (INDIA) LTD,DLINKINDIA,DLINKINDIA,Computers - Hardware,More
yes,DMCC Speciality,DMCC,DMCC,Chemicals,More
yes,Docmode Health,,DHTL,Miscellaneous,More
yes,DODLA DAIRY LTD,DODLA,DODLA,Food - Processing - Indian,More
no,Dolat Algotech Limited,DOLATALGO,DOLATALGO,Financial,More
no,DOLAT INVESTMENTS LTD.,DOLAT,,Finance & Investments,More
yes,DOLFIN RUBBERS LTD,DOLFIN,,Tyres,More
yes,DOLLAR INDUSTRIES LTD,DOLLAR,DOLLAR,Textiles - Products,More
no,Dollex Agrotech Ltd,,DOLLEX,Sugar,More
no,DOLPHIN MEDICAL SERVICES LTD.,DOLPHMED,,Healthcare,More
no,Dolphin Offshore,DOLPHIN,DOLPHIN,Oil Drilling / Allied Services,More
yes,Doms Industries Ltd,DOMS,DOMS,Stationary,More
no,DONEAR INDUSTRIES LTD.,DONEAR,DONEAR,Textiles - Processing,More
no,DQ ENTERTAINMENT (INTERNATIONAL) LTD.,DQE,,Entertainment / Electronic Media Software,More
yes,DR LALCHANDANI LABS LTD,DLCL,,Healthcare,More
yes,DR. LAL PATHLABS LTD,LALPATHLAB,LALPATHLAB,Healthcare,More
no,DR.AGARWALS EYE HOSPITAL LTD.,DRAGARWQ,,Healthcare,More
yes,DR.REDDY'S LABORATORIES LTD.,DRREDDY,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
yes,DRA CONSULTANTS LTD,DRA,,Miscellaneous,More
yes,DRC SYSTEMS INDIA LTD,DRCSYSTEMS,DRCSYSTEMS,Miscellaneous,More
yes,Dreamfolks Services Limited,DREAMFOLKS,DREAMFOLKS,Personal Services,More
no,DREDGING CORPORATION OF INDIA LTD.,DREDGECORP,DREDGECORP,Miscellaneous,More
yes,Drone Destinatio,,DRONE,Miscellaneous,More
yes,Droneacharya Aerial Innovations Ltd,DRONACHRYA,,Diversified Commercial Services,More
yes,DRS DILIP ROADLINES LIMITED,,DRSDILIP,Logistics Solution Provider,More
yes,DSJ KEEP LEARNING LTD,,KEEPLEARN,Entertainment / Electronic Media Software,More
yes,Ducol Organics & Colours Ltd,,DUCOL,,More
yes,DUCON INFRATECHNOLOGIES LTD,DUCON,DUCON,Computers - Software - Medium / Small,More
yes,DUDIGITAL GLOBAL LIMITED,DUGLOBAL,DUGLOBAL,Services,More
yes,DUKE OFFSHORE LTD.,DUKEOFS,,Oil Drilling / Allied Services,More
yes,DUNCAN ENGINEERING LTD,DUNCANENG,,Auto Ancillaries,More
yes,DUROPACK LTD.,DUROPACK,,Packaging,More
no,DUROPLY INDUSTRIES LTD,DUROPLY,,Miscellaneous,More
yes,DUTRON POLYMERS LTD.,DUTRON,,Plastics Products,More
yes,DWARIKESH SUGAR INDUSTRIES LTD.,DWARKESH,DWARKESH,Sugar,More
yes,DYNACONS SYSTEMS & SOLUTIONS LTD.,DSSL,DSSL,Computers - Software - Medium / Small,More
no,DYNAMATIC TECHNOLOGIES LTD.,DYNAMATECH,DYNAMATECH,Engineering,More
yes,DYNAMIC CABLES LTD,DYNAMIC,DYCL,Cables - Power,More
no,DYNAMIC INDUSTRIES LTD.,DYNAMIND,,Dyes And Pigments,More
no,DYNAMIC PORTFOLIO MANAGEMENT & SERVICES LTD.,DYNAMICP,,Finance & Investments,More
yes,Dynamic Services,,DYNAMIC,Miscellaneous,More
no,DYNAVISION LTD.,DYNAVSN,,Miscellaneous,More
yes,DYNEMIC PRODUCTS LTD.,DYNPRO,DYNPRO,Dyes And Pigments,More
yes,E Factor Experiences Ltd,,EFACTOR,Other Consumer Services,More
no,E.COM INFOTECH (I) LTD.,ECOM,,Computers - Software - Medium / Small,More
yes,E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,EIDPARRY,Sugar,More
yes,E2E NETWORKS,,E2E,Computers - Software - Medium / Small,More
yes,Earthstahl & Alloys Ltd,EARTH,,Iron & Steel Products,More
yes,EARUM PHARMACEUTICALS LTD,EARUM,,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
no,EAST BUILDTECH LTD.,EASTBUILD,,Construction,More
no,EAST INDIA SECURITIES LTD,EIS,,Finance & Investments,More
no,EAST WEST HOLDINGS LTD,EASTWEST,,Miscellaneous,More
no,Eastern Logica Infoway Ltd,ELIL,,Speciality Retail,More
no,EASTERN SILK INDUSTRIES LTD.,EASTSILK,EASTSILK,Textiles - Silk,More
no,EASTERN TREADS LTD.,EASTRED,,Miscellaneous,More
no,EASUN REYROLLE LTD.,EASUNREYRL,,Electric Equipment,More
no,EASY TRIP PLANNERS LTD,EASEMYTRIP,EASEMYTRIP,Travel Agencies,More
yes,ECLERX SERVICES LTD.,ECLERX,ECLERX,Computers - Software - Medium / Small,More
yes,ECO RECYCLING LTD.,ECORECO,,Miscellaneous,More
no,ECOBOARD INDUSTRIES LTD.,ECOBOAR,,Miscellaneous,More
no,ECONO TRADE (INDIA) LTD,ETIL,,Finance & Investments,More
yes,ECOPLAST LTD.,ECOPLAST,,Packaging,More
no,ECS BIZTECH LTD,ECS,,Computers - Hardware,More
no,EDELWEISS FINANCIAL SERVICES LTD.,EDELWEISS,EDELWEISS,Finance & Investments,More
no,EDUCOMP SOLUTIONS LTD.,EDUCOMP,EDUCOMP,Computers - Education,More
yes,EDYNAMICS SOLUTIONS LTD.,EDSL,,Trading,More
no,EFC (I) Ltd,EFCIL,,Trading Companies & Distributors,More
yes,EICHER MOTORS LTD.,EICHERMOT,EICHERMOT,Automobiles - Motorcycles / Mopeds,More
no,EIH ASSOCIATED HOTELS LTD.,EIHAHOTELS,EIHAHOTELS,Hotels,More
no,EIH LTD.,EIHOTEL,EIHOTEL,Hotels,More
yes,EIMCO ELECON (INDIA) LTD.,EIMCOELECO,EIMCOELECO,Engineering,More
no,EJECTA MARKETING LTD,EML,,Trading,More
no,EKAM LEASING & FINANCE CO.LTD.,EKAMLEA,,Finance & Investments,More
yes,EKI ENERGY SERVICES LTD,EKI,,Miscellaneous,More
no,E-LAND APPAREL LIMITED,ELAND,,Textiles - Processing,More
yes,ELANGO INDUSTRIES LTD.,ELANGO,,Mining / Minerals / Metals,More
yes,ELANTAS BECK INDIA LTD.,ELANTAS,,Chemicals,More
no,eLDECO HOUSING & INDUSTRIES LTD.,,AMIABLE,Logistics Solution Provider,More
yes,ELDECO HOUSING & INDUSTRIES LTD.,ELDEHSG,ELDEHSG,Construction,More
yes,ELECON ENGINEERING CO.LTD.,ELECON,ELECON,Engineering,More
yes,Electro Force (India) Ltd,,EFORCE,Other Electrical Equipment,More
yes,Electronics Mart India Ltd,EMIL,EMIL,Speciality Retail,More
no,ELECTROSTEEL CASTINGS LTD.,ELECTCAST,ELECTCAST,Castings & Forgings,More
no,ELECTROTHERM (INDIA) LTD.,ELECTHERM,ELECTHERM,Steel - Medium / Small,More
no,ELEGANT FLORICULTURE & AGROTECH (INDIA) LTD,ELEFLOR,,Other Agricultural Products,More
yes,ELEGANT MARBLES & GRANI INDUSTRIES LTD.,ELEMARB,,Miscellaneous,More
yes,ELGI EQUIPMENTS LTD.,ELGIEQUIP,ELGIEQUIP,Compressors / Drilling Equipment,More
no,ELGI RUBBER CO,,ELGIRUBCO,Miscellaneous,More
yes,Elin Electronics Ltd,ELIN,ELIN,Household Appliances,More
no,ELIXIR CAPITAL LTD,ELIXIR,,Finance & Investments,More
no,ELNET TECHNOLOGIES LTD.,ELNET,,Construction,More
yes,ELPRO INTERNATIONAL LTD.,ELPROINTL,,Construction,More
yes,EMAMI LTD.,EMAMILTD,EMAMILTD,Personal Care - Indian,More
no,EMAMI PAPER MILLS LTD.,EMAMIPAP,EMAMIPAP,Paper,More
no,EMAMI REALTY LTD,EMAMIREAL,EMAMIREAL,Construction,More
no,EMBASSY OFF.REIT,,EMBASSY,Construction,More
no,EMCO LTD.,EMCO,,Electric Equipment,More
no,EMERALD LEASING FINANCE & INVESTMENT COMPANY LTD,EMERALD,,Finance & Investments,More
no,EMERALD LEISURES LTD,EMERALL,,Recreation / Amusement Parks,More
no,EMKAY GLOBAL FINANCIAL SERVICES LTD.,EMKAY,EMKAY,Finance & Investments,More
yes,EMKAY TAPS & CUT,,EMKAYTOOLS,Engineering,More
no,EMMBI INDUSTRIES LTD,EMMBI,EMMBI,Packaging,More
no,EMMESSAR BIOTECH & NUTRITION LTD.,EMMESSA,,Chemicals,More
yes,Emmforce Autotech Ltd,EMMFORCE,,Auto Components & Equipments,More
no,EMPIRE INDUSTRIES LTD.,EMPIND,,Glass & Glass Products,More
yes,EMPOWER INDIA LTD.,EMPOWER,,Trading,More
yes,EMS Ltd,EMSLIMITED,EMSLIMITED,Water Supply & Management,More
yes,eMudhra Ltd,EMUDHRA,EMUDHRA,IT Enabled Services,More
no,ENBEE TRADE & FINANCE LTD.,ENBETRD,,Finance & Investments,More
yes,Encode Packaging India Ltd,ENCODE,,Print Media,More
yes,ENDURANCE TECHNOLOGIES LTD,ENDURANCE,ENDURANCE,Auto Ancillaries,More
no,ENERGY DEVELOPMENT COMPANY LTD.,ENERGYDEV,ENERGYDEV,Power Generation And Supply,More
yes,Enfuse Solutions Ltd,,ENFUSE,,More
yes,ENGINEERS INDIA LTD.,ENGINERSIN,ENGINERSIN,Engineering - Turnkey Services,More
yes,ENKEI WHEELS (INDIA) LTD.,ENKEIWHEL,,Auto Ancillaries,More
yes,Enser Communications Ltd,,ENSER,,More
yes,Entero Healthcare Solution Ltd,ENTERO,ENTERO,Pharmacy Retail,More
no,ENTERPRISE INTERNATIONAL LTD.,ENTRINT,,Trading,More
no,ENTERTAINMENT NETWORK (INDIA) LTD.,ENIL,ENIL,Entertainment / Electronic Media Software,More
yes,ENVAIR ELECTRODYNE LTD.,ENVAIREL,,Engineering,More
yes,Epack Durable,EPACK,EPACK,Air-conditioners,More
yes,EPIC ENERGY LTD.,EPIC,,Electric Equipment,More
yes,Epigral Ltd,MFL,EPIGRAL,Chlor Alkali / Soda Ash,More
yes,EPL LTD,EPL,EPL,Packaging,More
no,EPSOM PROPERTIES LTD.,EPSOMPRO,,Construction,More
yes,Equippp Social Impact Technologies Limited,EQUIPPP,EQUIPPP,Base Material,More
no,EQUITAS HOLDINGS LTD,EQUITAS,,Finance & Investments,More
no,EQUITAS SMALL FINANCE BANK LTD,EQUITASBNK,EQUITASBNK,Banks - Private Sector,More
yes,ERIS LIFESCIENCES LTD,ERIS,ERIS,Pharmaceuticals - Indian - Formulations,More
no,EROS INTERNATIONAL MEDIA LTD.,EROSMEDIA,EROSMEDIA,Entertainment / Electronic Media Software,More
no,ERP SOFT SYSTEMS LTD.,ERPSOFT,,Computers - Software - Medium / Small,More
no,ESAAR (INDIA) LTD.,ESARIND,,Finance & Investments,More
yes,ESAB INDIA LTD.,ESABINDIA,ESABINDIA,Electrodes - Welding Equipment,More
no,ESAF Small Finance Bank Ltd,ESAFSFB,ESAFSFB,Other Bank,More
yes,Esconet Technologies Ltd,,ESCONET,Computers Hardware & Equipments,More
no,ESCORP ASSET MANAGEMENT LTD,ESCORP,,Finance & Investments,More
no,ESCORTS FINANCE LTD.,ESCORTSFIN,,Finance & Investments,More
yes,ESCORTS LTD.,ESCORTS,ESCORTS,Automobiles - Tractors,More
no,ESHA MEDIA RESEARCH LIMITED,ESHAMEDIA,,Printing & Stationery,More
no,ESSAR PORTS LIMITED,,ESSARPORTS,,More
no,ESSAR SECURITIES LTD,ESSARSEC,,Finance & Investments,More
no,ESSAR SHIPPING LTD.,ESSARSHPNG,ESSARSHPNG,Shipping,More
yes,Essen Speciality Films Ltd,,ESFL,Plastic Products - Consumer,More
no,ESTER INDUSTRIES LTD.,ESTER,ESTER,Packaging,More
yes,Ethos Ltd,ETHOSLTD,ETHOSLTD,"Gems, Jewellery And Watches",More
yes,ETT Ltd,ETT,,"Residential, Commercial Projects",More
no,EUREKA INDUSTRIES LTD,EUREKAI,,Other Textile Products,More
no,EURO ASIA EXPORTS LTD.,EUROASIA,,Trading,More
yes,EURO INDIA FRESH,,EIFFL,Food - Processing - Indian,More
no,EURO LEDER FASHION LTD.,EUROLED,,Leather / Leather Products,More
no,EURO MULTIVISION LTD.,EUROMULTI,,Electronics - Components,More
yes,Euro Panel Products Limited,EUROBOND,EUROBOND,Consumer / Cyclical,More
no,EUROTEX INDUSTRIES & EXPORTS LTD.,,EUROTEXIND,Textiles - Cotton/Blended,More
yes,EVEREADY INDUSTRIES INDIA LTD.,EVEREADY,EVEREADY,Dry Cells,More
yes,EVEREST INDUSTRIES LTD.,EVERESTIND,EVERESTIND,Cement Products,More
yes,EVEREST KANTO CYLINDER LTD.,EKC,EKC,Packaging,More
no,EVEREST ORGANICS LTD.,EVERESTO,,Pharmaceuticals - Indian - Bulk Drugs,More
no,EVERLON SYNTHETICS LTD.,EVERLON,,Textiles - Processing,More
no,EVEXIA LIFECARE LTD,EVEXIA,,Chemicals,More
yes,EVOQ REMEDIES LIMITED,EVOQ,,"Pharmaceuticals, API",More
yes,EXCEL INDUSTRIES LTD.,EXCELINDUS,EXCELINDUS,Chemicals,More
no,EXCEL REALTY N INFRA LTD,EXCEL,EXCEL,Computers - Software - Medium / Small,More
yes,Exhicon Events Media Solutions Ltd,EXHICON,,Other Consumer Services,More
yes,Exicom Tele-Systems Ltd,EXICOM,EXICOM,Heavy Electrical Equipment,More
yes,EXIDE INDUSTRIES LTD.,EXIDEIND,EXIDEIND,Auto Ancillaries,More
yes,EXPLEO SOLUTIONS LTD,EXPLEOSOL,EXPLEOSOL,Computers - Software - Medium / Small,More
no,EXPLICIT FINANCE LTD.,EXPLICITFIN,,Finance & Investments,More
no,EXPO GAS CONTAINERS LTD.,EXPOGAS,,Packaging,More
yes,EXXARO TILES LTD,EXXARO,EXXARO,Ceramics - Tiles / Sanitaryware,More
yes,Faalcon Concepts Ltd,FAALCON,,Industrial Products,More
yes,FACOR ALLOYS LTD.,FACORALL,,Mining / Minerals / Metals,More
yes,FAIRCHEM ORGANICS LTD,FAIRCHEMOR,FAIRCHEMOR,Chemicals,More
yes,Family Care Hospitals Ltd,FAMILYCARE,,Healthcare,More
yes,FAZE THREE AUTOFAB LTD,FAZE3AUTO,,Textiles - Processing,More
yes,FAZE THREE LTD.,FAZE3Q,FAZE3Q,Textiles - Processing,More
no,FCS SOFTWARE SOLUTIONS LTD.,FCSSOFT,FCSSOFT,Computers - Software - Medium / Small,More
yes,FDC LTD.,FDC,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
no,Fedbank Financial Services Ltd,FEDFINA,FEDFINA,Non Banking Financial Company,More
no,FEDERAL BANK LTD.,FEDERALBNK,FEDERALBNK,Banks - Private Sector,More
yes,FEDERAL-MOGUL GOETZE (INDIA) LTD.,FMGOETZE,FMGOETZE,Auto Ancillaries,More
yes,FELIX INDUSTRIES,,FELIX,Engineering,More
no,FENOPLAST LTD.,FENOPLAS,,Plastics Products,More
yes,FERMENTA BIOTECH LTD,FERMENTA,,Pharmaceuticals - Indian - Bulk Drugs,More
yes,FERTILIZERS & CHEMICALS TRAVANCORE LTD.,FACT,FACT,Fertilizers,More
no,FERVENT SYNERGIES LTD.,FERVENTSYN,,Trading,More
yes,FIBERWEB (INDIA) LTD.,FIBERWEB,FIBERWEB,Textiles - Products,More
yes,FIDEL SOFTECH LIMITED,,FIDEL,Computers - Software & Consulting,More
yes,FIEM INDUSTRIES LTD.,FIEMIND,FIEMIND,Auto Ancillaries,More
yes,FILATEX FASHIONS LTD.,FILATFASH,,Textiles - Products,More
yes,FILATEX INDIA LTD.,FILATEX,FILATEX,Textiles - Manmade,More
yes,FILTRA CONSULTANTS AND ENGINEERS LTD,FILTRA,,Engineering,More
yes,FINE ORGANIC INDUSTRIES LTD,FINEORG,FINEORG,Chemicals,More
yes,FINE-LINE CIRCUITS LTD.,FINELINE,,Electronics - Components,More
yes,FINEOTEX CHEMICAL LTD.,FCL,FCL,Chemicals,More
no,FINKURVE FINANCIAL SERVICES LTD,FINKURVE,,Finance & Investments,More
no,Fino Payments Bank Ltd,FINOPB,FINOPB,Banks - Private Sector,More
yes,FINOLEX CABLES LTD.,FINCABLES,FINCABLES,Cables - Power,More
yes,FINOLEX INDUSTRIES LTD.,FINOLEXIND,FINPIPE,Plastics Products,More
no,FIRST CUSTODIAN FUND (INDIA) LTD.,1STCUS,,Finance & Investments,More
yes,First Fintec Ltd,FIRSTFIN,,IT Software Products,More
yes,FIRSTSOURCE SOLUTIONS LTD.,FSL,FSL,Computers - Software - Medium / Small,More
no,FISCHER CHEMIC LTD.,FISCHER,,Chemicals,More
no,FIVE X TRADECOM LTD,FIVEXTRADE,,,More
no,Five-Star Business Finance Ltd,FIVESTAR,FIVESTAR,NBFC,More
yes,Flair Writing Industries,Flair,FLAIR,Stationary,More
no,FLEX FOODS LTD.,FLEXFO,,Food - Processing - Indian,More
no,FLEXITUFF VENTURES INTERNATIONAL LTD,FLEXITUFF,FLEXITUFF,Packaging,More
no,FLOMIC GLOBAL LOGISTICS LTD,FLOMIC,,Finance & Investments,More
no,FLORA TEXTILES LTD.,FLORATX,,Textiles - Processing,More
yes,FLUIDOMAT LTD.,FLUIDOM,,Engineering,More
yes,Foce India Limited,FOCE,FOCE,Consumer / Cyclical,More
no,FOCUS BUSINESS SOLUTION LTD,FOCUS,,Finance & Investments,More
yes,FOCUS LIGHTING,,FOCUS,Electric Equipment,More
yes,Fonebox,,FONEBOX,Trading,More
no,FOODS & INNS LTD.,FOODSIN,FOODSIN,Food - Processing - Indian,More
no,FORBES & COMPANY LTD.,FORBESCO,,Engineering,More
yes,FORCE MOTORS LTD.,FORCEMOT,,Automobiles - LCVs / HCVs,More
yes,FORTIS HEALTHCARE LTD.,FORTIS,FORTIS,Healthcare,More
no,FORTIS MALAR HOSPITALS LIMITED,FORTISMLR,,Healthcare,More
yes,FORTUNE INTERNATIONAL LTD.,FORINTL,,Trading,More
yes,FOSECO INDIA LTD.,FOSECOIND,FOSECOIND,Chemicals,More
no,FOUNDRY FUEL PRODUCTS LTD.,FFPL,,Miscellaneous,More
yes,FOURTH DIMENSION SOLUTIONS LIMITED,,FOURTHDIM,Miscellaneous,More
no,FOURTH GENERATION INFORMATION SYSTEMS LTD.,4THGEN,,Computers - Software - Medium / Small,More
no,FRANKLIN INDUSTRIES LTD,FRANKLININD,,Trading,More
no,FRANKLIN LEASING AND FINANCE LTD,FRANKLIN,,Finance & Investments,More
no,FRASER AND COMPANY LTD,FRASER,,Trading,More
yes,FREDUN PHARMACEUTICALS LTD,FREDUN,,Pharmaceuticals - Indian - Formulations,More
yes,FRESHTROP FRUITS LTD.,FRSHTRP,,Food - Processing - Indian,More
yes,FROG CELLSAT LIMITED,,FROG,Telecom - Equipment & Accessories,More
yes,FRONTIER SPRINGS LTD.,FRONTSP,,Auto Ancillaries,More
no,FRONTLINE CORPORATION LTD.,FRONTCORP,,Miscellaneous,More
no,FRUITION VENTURE LTD,FRUTION,,Finance & Investments,More
yes,FSN E-Commerce Ventures Ltd,NYKAA,NYKAA,Internet & Catalogue Retail,More
no,FUNDVISER CAPITAL (INDIA) LTD,FUNDVISER,,Dyes And Pigments,More
no,Fusion Micro Finance Ltd,FUSION,FUSION,Microfinance Institutions,More
no,FUTURE CONSUMER LTD,FCONSUMER,FCONSUMER,Trading,More
no,FUTURE ENTERPRISES LTD,FEL,FEL,Textiles - Products,More
no,FUTURE ENTERPRISES LTD_DVR,FELDVR,FELDVR,Textiles - Products,More
no,FUTURE LIFESTYLE FASHIONS LTD,FLFL,FLFL,Textiles - Products,More
no,FUTURE MARKET NETWORKS LTD.,FMNL,FMNL,Miscellaneous,More
no,FUTURE RETAIL LTD,FRETAIL,FRETAIL,Trading,More
no,FUTURE SUPPLY CHAIN SOLUTIONS LTD,FSC,FSC,Miscellaneous,More
no,FUTURISTIC SECURITIES LTD.,FUTURSEC,,Finance & Investments,More
no,FUTURISTIC SOLUTIONS LTD.,FUTSOL,,Finance & Investments,More
yes,G G ENGINEERING LTD,GGENG,,Engines,More
yes,G M POLYPLAST LTD,GMPL,,Plastics Products,More
yes,G N A AXLES LTD,GNA,GNA,Auto Ancillaries,More
no,G R INFRAPROJECTS LTD,GRINFRA,GRINFRA,Construction,More
no,G. G. Dandekar Properties Ltd,GGDPROP,,Industrial Products,More
yes,G. K. P. PRINTING & PACKAGING LTD,GKP,,Paper,More
no,G.K.CONSULTANTS LTD.,GKCONS,,Finance & Investments,More
no,G.M.BREWERIES LTD.,GMBREW,GMBREW,Breweries & Distilleries,More
no,G.S.AUTO INTERNATIONAL LTD.,GSAUTO,,Auto Ancillaries,More
yes,GABRIEL INDIA LTD.,GABRIEL,GABRIEL,Auto Ancillaries,More
yes,Gabriel Pet Straps Ltd,GPSL,,Other Industrial Products,More
yes,GACM Tech,GATECH,GATECH,Miscellaneous,More
yes,GAGAN GASES LTD.,GAGAN,,Chemicals,More
no,GAGAN POLYCOT INDIA LTD.,GAGANPO,,Trading,More
yes,GAIL (INDIA) LTD.,GAIL,GAIL,Miscellaneous,More
no,GAJRA BEVEL GEARS LTD.,GAJRA,,Auto Ancillaries,More
yes,GALA GLOBAL PRODUCTS LTD,GGPL,,Printing & Stationery,More
no,GALACTICO CORPORATE SERVICES LTD,GALACTICO,,Finance & Investments,More
no,GALADA FINANCE LTD,GALADAFIN,,Finance & Investments,More
no,GALADA POWER & TELECOMMUNICATION LTD.,GALADA,,Aluminium and Aluminium Products,More
yes,GALAXY AGRICO EXPORTS LTD,GALAGEX,,Industrial Machinery.,More
yes,GALAXY BEARINGS LTD.,GALXBRG,,Bearings,More
yes,GALAXY CLOUD KITCHENS LTD,GCKL,,Trading - manufacturing of food products,More
yes,GALAXY SURFACTANTS LTD,GALAXYSURF,GALAXYSURF,Detergents / Intermediates,More
yes,GALLANTT ISPAT LTD.,GALLISPAT,,Steel - Sponge Iron,More
no,GALLANTT METAL LTD.,GALLANTT,GALLANTT,Steel - Medium / Small,More
yes,Gandhar Oil Refinery (India) Ltd,GANDHAR,GANDHAR,Lubricants,More
yes,GANDHI SPECIAL TUBES LTD.,GANDHITUBE,GANDHITUBE,Steel - Medium / Small,More
yes,GANESH BENZOPLAST LTD.,GANESHBE,GANESHBE,Chemicals,More
no,GANESH FILMS INDIA LTD,GFIL,,Entertainment / Electronic Media Software,More
yes,GANESH HOUSING CORPORATION LTD.,GANESHHOUC,GANESHHOUC,Construction,More
no,GANESHA ECOSPHERE LTD.,GANECOS,GANECOS,Textiles - Processing,More
yes,GANGA FORGING,,GANGAFORGE,Castings & Forgings,More
no,GANGA PAPERS INDIA LTD.,GANGAPA,,Paper,More
no,Ganga Pharmaceuticals Ltd,GANGAPHARM,,Pharmaceuticals,More
no,GANGES SECURITIES LTD,GANGESSEC,GANGESSECU,Finance & Investments,More
no,GANGOTRI TEXTILES LTD.,,GANGOTRI,Textiles - Cotton/Blended,More
no,Garbi Finvest Ltd,GARBIFIN,,Finance (including NBFCs),More
no,GARDEN REACH SHIPBUILDERS & ENGINEERS LTD,GRSE,GRSE,Miscellaneous,More
yes,GARG FURNACE LTD.,GARGFUR,,Steel - Medium / Small,More
no,GARMENT MANTRA LIFESTYLE LTD,GARMNTMNTR,,Textiles - Products,More
no,GARNET CONSTRUCTION LTD.,GARNET,,Construction,More
no,GARNET INTERNATIONAL LTD.,GARNETINT,,Finance & Investments,More
no,GARODIA CHEMICALS LTD.,GARODCH,,Trading,More
yes,GARWARE HI-TECH FILMS LTD,GRWRHITECH,GRWRHITECH,Packaging,More
yes,GARWARE MARINE INDUSTRIES LTD.,GARWAMAR,,Miscellaneous,More
no,GARWARE SYNTHETICS LTD.,GARWSYN,,Textiles - Products,More
yes,GARWARE TECHNICAL FIBRES LTD,GARFIBRES,GARFIBRES,Textiles - Products,More
yes,GATEWAY DISTRIPARKS LTD.,GDL,GATEWAY,Miscellaneous,More
no,GAUTAM EXIM LTD,GEL,,Trading,More
yes,GAUTAM GEMS LTD,GGL,,Diamond Cutting / Jewellery,More
no,GAYATRI BIOORGANICS LTD.,GAYATRIBI,,Miscellaneous,More
no,GAYATRI HIGHWAYS LTD,,GAYAHWS,Construction,More
no,GAYATRI PROJECTS LTD.,GAYAPROJ,GAYAPROJ,Construction,More
yes,Gayatri Rubbers and Chemicals Ltd.,,GRCL,Rubber,More
no,GAYATRI SUGARS LTD.,GAYATRI,,Sugar,More
yes,GBL INDUSTRIES LTD,GBLIL,,Chemicals,More
no,GCM CAPITAL ADVISORS LTD,GCMCAPI,,Finance & Investments,More
